domain;name;ticker;involvement.Alcoholic Beverages;involvement.Adult Entertainment;involvement.Gambling;involvement.Tobacco Products;involvement.Animal Testing;involvement.Fur and Specialty Leather;involvement.Controversial Weapons;involvement.Small Arms;involvement.Catholic Values;involvement.GMO;involvement.Military Contracting;involvement.Pesticides;involvement.Thermal Coal;involvement.Palm Oil;employees;industry;sector;altman_score;piotroski_score;Controversies.Environment;Controversies.Social;Controversies.Customers;Controversies.Human Rights & Community;Controversies.Labor Rights & Supply Chain;Controversies.Governance;Decarbonization Target.Target Year;Decarbonization Target.Comprehensiveness;Decarbonization Target.Ambition p.a.;Decarbonization Target.Decarbonization Target;Decarbonization Target.Decarbonization Target on Temperature Rise;Temperature Goal;sdg.No Poverty;sdg.No Hunger;sdg.Good Health and Well-Being;sdg.Quality Education;sdg.Gender Equality;sdg.Clean Water and Sanitation;sdg.Affordable and Clean Energy;sdg.Decent Work and Economic Growth;sdg.Industry, Innovation and Infrastructure;sdg.Reduced Inequalities;sdg.Sustainable Cities and Communities;sdg.Responsible Consumption and Production;sdg.Climate Action;sdg.Life under Water;sdg.Life on Land;sdg.Peace, Justice and Strong Institutions;sdg.Partnerships for the Goals;esg;involvement_msci.Controversial Weapons;involvement_msci.Gambling;involvement_msci.Tobacco Products;involvement_msci.Alcoholic Beverages;Controversies.Supply Chain Labor Standards;Controversies;Decarbonization Target;sdg;Controversies.Collective Bargaining & Union;Controversies.Health & Safety;Controversies.Discrimination & Workforce Diversity;Controversies.Labor Management Relations;involvement;involvement_msci;Controversies.Anticompetitive Practices;Controversies.Privacy & Data Security;Controversies.Bribery & Fraud;Controversies.Governance Structures;Controversies.Customer Relations;Controversies.Product Safety & Quality;Controversies.Human Rights Concerns;Controversies.Energy & Climate Change;Controversies.Toxic Emissions & Waste;Controversies.Impact on Local Communities;Controversies.Biodiversity & Land Use;Controversies.Other;Controversies.Marketing & Advertising;Controversies.Civil Liberties;Controversies.Operational Waste (Non-Hazardous);Controversies.Supply Chain Management;Controversies.Water Stress;Controversies.Child Labor;Controversies.Controversial Investments
checkpoint.com;Check Point Software Technologies;CHKP;No;No;No;No;No;No;No;No;No;No;No;No;No;No;6450;Software - Infrastructure  ;Technology  ;8.17;7;Green;Green;Green;Green;Green;Green;;;;;;1.6;No;No;No;No;Aligned;No;No;No;No;No;No;No;Aligned;No;No;Aligned;No;18.1;;;;;;;null;;;;;;;;;;;;;;;;;;;;;;;;;;
symantec.com;Symantec;GEN;No;No;No;No;No;No;No;No;No;No;No;No;No;No;3700;Software - Infrastructure  ;Technology  ;0.93;6;Green;Green;Green;Green;Green;Green;2033;10.68%;0.94%;Yes;Yes;1.6;No;No;No;No;Aligned;No;Aligned;Aligned;No;Aligned;No;No;Aligned;No;No;Aligned;No;15.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24solutions.se;24 Solutions;KLNG;;;;;;;;;;;;;;;51;Oil & Gas Equipment & Services  ;Energy  ;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
oracle.com;Oracle;ORCL;No;No;No;No;No;No;No;No;No;No;No;No;No;No;164000;Software - Infrastructure  ;Technology  ;1.9;7;Green;Yellow;Green;Green;Yellow;Green;2050;100.0%;-3.57%;Yes;Yes;1.3;No;No;No;No;Aligned;Aligned;No;No;No;No;No;Aligned;No;No;No;No;No;14.1;;;;;;;;;;;Yellow;;;;;;;;;;;;;;;;;;;;;;
microsoft.com;Microsoft;MSFT;No;No;No;No;No;No;No;No;No;No;No;No;No;No;221000;Software - Infrastructure  ;Technology  ;9.38;6;Green;Yellow;Yellow;Green;Yellow;Yellow;2045;100.0%;-3.79%;Yes;Yes;1.4;No;No;No;No;Aligned;No;No;No;No;No;No;Aligned;No;No;No;No;No;15.4;;;;;Yellow;;;;Yellow;Yellow;Yellow;;;;Yellow;Yellow;Yellow;Yellow;;;;;;;;;;;;;;;
cisco.com;Cisco;CSCO;No;No;No;No;No;No;No;No;No;No;No;No;No;No;84900;Communication Equipment  ;Technology  ;3.35;8;Green;Yellow;Yellow;Green;Yellow;Green;2040;100.0%;-5.56%;Yes;Yes;1.8;No;No;No;No;Aligned;Aligned;No;No;No;Aligned;No;Aligned;Aligned;No;No;No;No;13.9;;;;;Yellow;;;;;;;;;;;Yellow;;;;;;;;;;;;;;;;;
fortinet.com;Fortinet;FTNT;No;No;No;No;No;No;No;No;No;No;No;No;No;No;13568;Software - Infrastructure  ;Technology  ;4.85;6;Green;Green;Green;Green;Green;Green;2030;\n1.16%;0.88%;Yes;Yes;1.6;No;No;No;No;Aligned;No;No;No;No;Aligned;No;No;Aligned;No;No;No;No;18.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trendmicro.com;Trend Micro;4704;;;;;;;;;;;;;;;null;;;null;null;Green;Green;Green;Green;Green;Green;;;;;;1.6;No;No;No;No;Aligned;No;No;No;No;No;No;No;No;No;No;No;No;22;No;No;No;No;;;null;;;;;;null;;;;;;;;;;;;;;;;;;;;
pineapp.com;PineApp;PEGY;;;;;;;;;;;;;;;201;Solar  ;Technology  ;0.33;3;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
7p-group.com;Seven Principles;T3T1k;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
elro.eu;Elro;ELRNF;;;;;;;;;;;;;;;8;Asset Management  ;Financial Services  ;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
nokia.com;Nokia;NOKIA;;;;;;;;;;;;;;;null;;;null;null;Green;Yellow;Yellow;Green;Yellow;Green;2050;100.0%;-3.57%;Yes;Yes;1.8;No;No;No;No;Aligned;No;No;No;No;Aligned;No;No;No;No;No;No;No;11.2;No;No;No;No;Yellow;;;;;;;;null;;Yellow;;;;;;;;;;;;;;;;;;
ventyx.com;Ventyx;VTYX;;;;;;;;;;;;;;;79;Biotechnology  ;Healthcare  ;null;1;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;29.1;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
kaifa.cn;Kaifa;21;;;;;;;;;;;;;;;null;;;null;null;Green;Green;Green;Green;Green;Green;;;;;;3;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;16.8;No;No;No;No;;;null;;;;;;null;;;;;;;;;;;;;;;;;;;;
a-tsolutions.com;A-T Solutions;CTSH;No;No;No;No;No;No;No;No;No;No;No;No;No;No;347700;Information Technology Services  ;Technology  ;6.54;7;Green;Yellow;Green;Green;Yellow;Yellow;2050;100.0%;-3.57%;Yes;Yes;1.3;No;No;No;No;Aligned;No;Aligned;No;No;Aligned;No;Aligned;Aligned;No;No;No;No;16.5;;;;;;;;;;;;Yellow;;;;;Yellow;;;;;;;;;;;;;;;;
thorindustries.com;Thor Industries;THO;No;No;No;No;No;No;No;No;No;No;No;No;No;No;24900;Recreational Vehicles  ;Consumer Cyclical  ;3.6;6;Green;Green;Green;Green;Green;Green;2050;100.0%;-3.57%;Yes;Yes;1.4;No;No;No;No;Aligned;No;Aligned;No;Aligned;Aligned;No;No;Aligned;No;No;No;No;28.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lifeandsoft.com;Life & Soft;LIFE;;;;;;;;;;;;;;;56;Biotechnology  ;Healthcare  ;-3.8;2;Green;Green;Green;Green;Green;Green;;;;;;1.5;No;No;No;No;Aligned;No;No;Aligned;No;No;No;No;No;No;No;No;No;null;No;No;No;No;;;null;;;;;;null;;;;;;;;;;;;;;;;;;;;
sequencevalidation.com;Sequence;SEQ/USD;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
tcs.com;Tata Consultancy Services;TCS;;;;;;;;;;;;;;;2500;Specialty Retail  ;Consumer Cyclical  ;-0.6;5;Green;Yellow;Green;Green;Yellow;Yellow;2040;\n3.75%;1.05%;Yes;Yes;1.7;No;No;No;No;Aligned;Aligned;Aligned;Aligned;Aligned;Aligned;No;Aligned;Aligned;No;No;No;No;null;No;No;No;No;;;;;;;;Yellow;null;;;;Yellow;;;;;;;;;;;;;;;;
simulations-plus.com;Simulations Plus;SLP;;;;;;;;;;;;;;;192;Health Information Services  ;Healthcare  ;34.26;7;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;17.9;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
certara.com;Certara;CERT;;;;;;;;;;;;;;;1338;Health Information Services  ;Healthcare  ;3.43;4;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;19.3;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
thomsonreuters.com;Thomson Reuters;TRI;No;No;No;No;No;No;No;No;No;No;No;No;No;No;25600;Specialty Business Services  ;Industrials  ;6.95;7;Green;Green;Green;Green;Green;Green;2050;100.0%;-3.57%;Yes;Yes;1.4;No;No;No;No;Aligned;No;Aligned;No;Aligned;Aligned;No;No;Aligned;No;No;No;No;null;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
accor.com;Accor;ACD;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
airfrance.com;Air France;AIRF;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
sncf.fr;SNCF;SNCF;;;;;;;;;;;;;;;1;Asset Management  ;Financial Services  ;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
thalys.com;Thalys;603716;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
kronos.com;Kronos;KRON;;;;;;;;;;;;;;;62;Biotechnology  ;Healthcare  ;-3.5;2;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
adp.com;ADP;ADP;No;No;No;No;No;No;No;No;No;No;No;No;No;No;63000;;;2.34;9;Green;Green;Green;Green;Green;Green;2050;100.0%;-3.57%;Yes;Yes;1.7;No;No;No;No;Aligned;No;Aligned;Aligned;No;No;No;No;Aligned;No;No;Aligned;No;null;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
technomedia.com;Technomedia;TECH;;;;;;;;;;;;;;;3200;Biotechnology  ;Healthcare  ;10.61;4;Green;Green;Green;Green;Green;Green;;;;;;1.8;No;No;No;No;No;No;No;Aligned;No;No;No;No;No;No;No;No;No;17.5;No;No;No;No;;;null;;;;;;null;;;;;;;;;;;;;;;;;;;;
aciworldwide.com;ACI Worldwide;ACIW;;;;;;;;;;;;;;;3212;Software - Infrastructure  ;Technology  ;2.5;9;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;22.4;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
acesw.com;ACE Software;ACES;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;19.4;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
alliancedata.com;Alliance Data;BFH;No;No;No;No;No;No;No;No;No;No;No;No;No;No;7000;Credit Services  ;Financial Services  ;null;6;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;18;;;;;;null;null;null;;;;;;;;;;;;;;;;;;;;;;;;;
americanexpress.com;American Express;AXP;No;No;No;No;No;No;No;No;No;No;No;No;No;No;74600;Credit Services  ;Financial Services  ;null;5;Green;Yellow;Yellow;Green;Green;Green;2040;100.0%;-5.56%;Yes;Yes;1.3;No;No;No;No;Aligned;No;Aligned;Aligned;No;No;No;No;Aligned;No;No;No;No;19.3;;;;;;;;;;;;;;;;Yellow;;;Yellow;;;;;;;;;;;;;;
bian.org;BIAN;WTBN;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
bsasoftware.com;BS&A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
diebold.com;Diebold;DBD;;;;;;;;;;;;;;;21000;Software - Application  ;Technology  ;0.45;2;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
harriscomputer.com;Harris;LHX;;;;;;;;;;;;;;;50000;Aerospace & Defense  ;Industrials  ;1.77;5;Green;Orange;Green;Green;Orange;Green;2026;\n4.38%;0.9%;Yes;Yes;2.3;No;No;No;No;Aligned;No;No;No;No;No;No;No;Aligned;No;No;No;No;21.1;Yes;No;No;No;;;;;;;;Orange;null;;;;;;;;;;;;;;;;;;;;
ifxforum.org;IFX;IFX;;;;;;;;;;;;;;;null;;;null;null;Green;Green;Green;Green;Green;Green;2030;12.17%;-0.61%;Yes;Yes;3;No;No;No;No;Aligned;Aligned;No;Aligned;No;Aligned;No;Aligned;Aligned;No;No;Aligned;No;14.4;No;No;No;No;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;
prognosis.com;Integrated Research;IRI;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
intuit.com;Intuit;INTU;No;No;No;No;No;No;No;No;No;No;No;No;No;No;18200;Software - Application  ;Technology  ;9.75;7;Green;Green;Green;Green;Green;Green;2050;\n96.8%;-3.33%;Yes;Yes;1.3;No;No;No;No;Aligned;No;Aligned;Aligned;No;Aligned;No;No;Aligned;No;No;No;No;null;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ipaytechnologies.com;iPay;IPAY;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
iso.org;ISO;ISO;;;;;;;;;;;;;;;9707;;;4.46;6;Green;Green;Green;Green;Green;Green;;;;;;1.9;No;No;No;No;No;No;No;Aligned;No;No;No;Aligned;No;No;No;No;No;null;No;No;No;No;;;null;;;;;;null;;;;;;;;;;;;;;;;;;;;
korea-computer.co.kr;Korea Computer Inc;54040;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
mastercard.com;MasterCard;MA;No;No;No;No;No;No;No;No;No;No;No;No;No;No;33400;Credit Services  ;Financial Services  ;10.89;6;Green;Yellow;Yellow;Green;Green;Green;2050;100.0%;-3.57%;Yes;Yes;1.3;No;No;No;No;No;No;Aligned;Aligned;No;Aligned;No;No;Aligned;No;No;No;No;null;;;;;;;;;;;;;;;Yellow;;;;;;;;;;;;;;;;;;
microtecweb.com;Microtec;SMHNn;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
mi-pay.com;Mi-Pay;LP68052635;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
ncr.com;NCR;NCR;;;;;;;;;;;;;;;15500;;;0.89;4;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
swift.com;SWIFT;KNX;;;;;;;;;;;;;;;34300;Trucking  ;Industrials  ;1.75;4;Green;Yellow;Green;Green;Yellow;Green;2035;50.76%;-0.6%;Yes;Yes;4;No;No;No;No;Aligned;No;No;No;No;No;No;No;No;No;No;No;No;18.3;No;No;No;No;;;;;;;;Yellow;null;;;;;;;;;;;;;;;;;;;;
syscom.com.tw;Syscom Computer Engineering;2453;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
thalesgroup.com;Thales;TCFP;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
vantiv.com;Vantiv;VANTI;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
verifi.com;Verifi;USDV/USD;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
visa.com;Visa;VISA;;;;;;;;;;;;;;;null;;;null;null;Green;Yellow;Yellow;Green;Green;Green;2040;100.0%;-5.56%;Yes;Yes;1.3;No;No;No;No;Aligned;Aligned;Aligned;Aligned;No;No;No;Aligned;Aligned;No;No;No;No;null;No;No;No;No;;;;;;;;;null;;Yellow;;;;;;;;;;;;;;;;;;
atos.net;Atos;ATOS;;;;;;;;;;;;;;;12;;;null;2;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
bipb.com;BIPB;BIP/BTC;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
crmt.com;CRMT;CRMT;;;;;;;;;;;;;;;2260;;;null;1;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;12.7;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
datamgmt.com;Data Management & Warehousing;DCM;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
datamatics.com;Datamatics;DATC;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
d-source.com.ph;D-Source Inc.;LDCU;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
inergy.nl;Inergy;6693;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
maxonic.com;Maxonic;300112;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
microstrategy.com;MicroStrategy;MSTR;;;;;;;;;;;;;;;1934;;;2.32;2;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;26.9;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
openbi.com;Open BI;OTN/BTC;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
rackspace.com;Rackspace;RXT;;;;;;;;;;;;;;;5800;Software - Infrastructure  ;Technology  ;-0.72;4;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;22.5;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
sitqad.co.il;SIT Ltd;SDR;;;;;;;;;;;;;;;null;;;null;null;Green;Green;Green;Green;Green;Green;2050;100.0%;-3.45%;Yes;Yes;1.9;No;No;No;No;Aligned;No;Aligned;Aligned;No;Aligned;No;No;Aligned;No;No;No;No;17.8;No;No;No;Yes;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;
tieto.com;Tieto;TIETO;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;14.4;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
activfinancial.com;Activ Financial;336160;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
amd.com;AMD;AMD;;;;;;;;;;;;;;;26000;;;12.54;7;Green;Green;Green;Green;Green;Green;2030;\n0.77%;0.95%;Yes;Yes;2.7;No;No;No;No;Aligned;No;Aligned;Aligned;Aligned;Aligned;No;Aligned;Aligned;No;No;No;No;15;No;No;No;No;;;;;;;;;null;;;;;;;;;;;;;;;;;;;;
solarflare.com;Solarflare;SFC/BTC;;;;;;;;;;;;;;;null;;;null;null;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;null;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
adapt.com;Adapt;ADPT;;;;;;;;;;;;;;;709;;;-1.94;3;;;;;;;;;;;;null;;;;;;;;;;;;;;;;;;18.9;;;;;;null;null;null;;;;;null;null;;;;;;;;;;;;;;;;;;;
